,site_name,address,city,long,lat,county,hours
539,7-Eleven 16136 G,2065 White Oak Ln,Santa Clara,-121.99663999999999,37.360401,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
540,7-Eleven 25480 B,5148 Moorpark Ave,San Jose,-121.99318999999998,37.309471,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
541,PAUL'S QUICK STOP,709 Stockton Ave,San Jose,-121.91367,37.34082,Santa Clara,"Monday: 7:00 AM – 12:00 AM
Tuesday: 7:00 AM – 12:00 AM
Wednesday: 7:00 AM – 12:00 AM
Thursday: 7:00 AM – 12:00 AM
Friday: 7:00 AM – 1:00 AM
Saturday: 7:00 AM – 1:00 AM
Sunday: 7:00 AM – 12:00 AM"
542,Wolfe India Bazar,854 Old San Francisco Rd,Sunnyvale,-122.01586999999999,37.366543,Santa Clara,"Monday: 10:00 AM – 8:00 PM
Tuesday: 10:00 AM – 8:00 PM
Wednesday: 10:00 AM – 8:00 PM
Thursday: 10:00 AM – 8:00 PM
Friday: 10:00 AM – 8:00 PM
Saturday: 10:00 AM – 8:00 PM
Sunday: 10:00 AM – 8:00 PM"
543,Walgreens 15246,2140 El Camino Real,Santa Clara,-121.9621,37.352257,Santa Clara,"Monday: 8:00 AM – 9:00 PM
Tuesday: 9:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 9:00 AM – 9:00 PM
Sunday: 9:00 AM – 9:00 PM"
544,Safeway 2150,1489 Bird Ave,San Jose,-121.88977,37.305842999999996,Santa Clara,"Monday: 5:00 AM – 11:00 PM
Tuesday: 5:00 AM – 11:00 PM
Wednesday: 5:00 AM – 11:00 PM
Thursday: 5:00 AM – 11:00 PM
Friday: 5:00 AM – 11:00 PM
Saturday: 5:00 AM – 11:00 PM
Sunday: 5:00 AM – 11:00 PM"
545,Liquor And Food,1228 S Wolfe Rd,Sunnyvale,-122.01408,37.353951,Santa Clara,"Monday: 8:00 AM – 12:00 AM
Tuesday: 8:00 AM – 12:00 AM
Wednesday: 8:00 AM – 12:00 AM
Thursday: 8:00 AM – 12:00 AM
Friday: 8:00 AM – 1:00 AM
Saturday: 8:00 AM – 1:00 AM
Sunday: 8:00 AM – 12:00 AM"
546,New India Bazaar,1340 S Mary Ave,Sunnyvale,-122.05048000000001,37.350513,Santa Clara,"Monday: 9:00 AM – 9:00 PM
Tuesday: 9:00 AM – 9:00 PM
Wednesday: 9:00 AM – 9:00 PM
Thursday: 9:00 AM – 9:00 PM
Friday: 9:00 AM – 9:00 PM
Saturday: 9:00 AM – 9:00 PM
Sunday: 9:00 AM – 9:00 PM"
547,International Gourmet Foods,2052 Curtner Ave,San Jose,-121.93364,37.272503,Santa Clara,"Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 10:00 AM – 6:00 PM"
548,Saratoga Farmers Market,14000 Fruitvale Ave,Saratoga,-122.01369,37.265785,Santa Clara,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: 9:00 AM – 1:00 PM
Sunday: Closed"
549,Campbell Liquors & Deli,479 E Campbell Ave,Campbell,-121.94123,37.287102000000004,Santa Clara,"Monday: 9:00 AM – 10:00 PM
Tuesday: 9:00 AM – 10:00 PM
Wednesday: 9:00 AM – 10:00 PM
Thursday: 9:00 AM – 10:00 PM
Friday: 9:00 AM – 12:00 AM
Saturday: 9:00 AM – 12:00 AM
Sunday: 9:00 AM – 10:00 PM"
