# ----------------------------------------
# All Web Site Data
# Browser & OS
# 20200601-20200814
# ----------------------------------------

Operating System,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Android,20200806,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200808,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Android,20200813,1,1,1,0.00%,1.00,00:00:32,0.00%,0,$0.00
Chrome OS,20200606,1,1,1,0.00%,1.00,00:19:31,0.00%,0,$0.00
Chrome OS,20200607,1,1,1,0.00%,2.00,00:03:28,0.00%,0,$0.00
Chrome OS,20200615,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200618,1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200619,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200626,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200630,1,0,1,0.00%,1.00,00:06:27,0.00%,0,$0.00
Chrome OS,20200711,1,1,1,0.00%,1.00,00:00:23,0.00%,0,$0.00
Chrome OS,20200714,1,0,1,0.00%,1.00,00:00:34,0.00%,0,$0.00
Chrome OS,20200717,1,1,1,0.00%,1.00,00:01:27,0.00%,0,$0.00
Chrome OS,20200723,1,0,2,0.00%,1.00,00:00:03,0.00%,0,$0.00
Chrome OS,20200724,1,0,1,0.00%,0.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200727,1,0,2,0.00%,1.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200729,1,0,1,0.00%,1.00,00:00:22,0.00%,0,$0.00
Chrome OS,20200803,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200806,1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Chrome OS,20200813,1,0,2,0.00%,1.00,00:00:10,0.00%,0,$0.00
iOS,20200627,1,1,1,0.00%,1.00,00:00:52,0.00%,0,$0.00
iOS,20200711,1,0,1,0.00%,1.00,00:00:01,0.00%,0,$0.00
iOS,20200801,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200608,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200612,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200616,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200618,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200707,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200712,1,1,1,0.00%,1.00,00:00:20,0.00%,0,$0.00
Linux,20200803,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200808,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Linux,20200811,1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200627,1,0,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
Windows,20200712,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
,,"2,280","1,496","2,734",51.06%,1.33,00:02:26,0.00%,0,$0.00

Day Index,Users
6/1/20,75
6/2/20,84
6/3/20,71
6/4/20,49
6/5/20,49
6/6/20,26
6/7/20,22
6/8/20,121
6/9/20,138
6/10/20,42
6/11/20,59
6/12/20,34
6/13/20,15
6/14/20,21
6/15/20,28
6/16/20,38
6/17/20,57
6/18/20,36
6/19/20,22
6/20/20,13
6/21/20,17
6/22/20,19
6/23/20,29
6/24/20,28
6/25/20,22
6/26/20,27
6/27/20,9
6/28/20,18
6/29/20,93
6/30/20,78
7/1/20,60
7/2/20,27
7/3/20,22
7/4/20,9
7/5/20,18
7/6/20,24
7/7/20,47
7/8/20,37
7/9/20,28
7/10/20,21
7/11/20,7
7/12/20,11
7/13/20,29
7/14/20,24
7/15/20,20
7/16/20,18
7/17/20,17
7/18/20,10
7/19/20,3
7/20/20,21
7/21/20,15
7/22/20,32
7/23/20,29
7/24/20,23
7/25/20,16
7/26/20,8
7/27/20,28
7/28/20,26
7/29/20,26
7/30/20,11
7/31/20,17
8/1/20,4
8/2/20,11
8/3/20,21
8/4/20,16
8/5/20,22
8/6/20,20
